Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,County,District,Ward,District Code,Ward Code,Country,County Code,Constituency,Introduced,Terminated,Parish,National Park,Population,Households,Built up area,Built up sub-division,Lower layer super output area,Rural/urban,Region,Altitude,London zone,LSOA Code,Local authority,MSOA Code,Middle layer super output area,Parish Code,Census output area,Constituency Code,Index of Multiple Deprivation,Quality,User Type,Last updated,Nearest station,Distance to station,Postcode area,Postcode district,Police force,Water company,Plus Code,Average Income,Sewage Company,Travel To Work Area,ITL level 2,ITL level 3,UPRNs,Distance to sea
BN1 1AA,Yes,50.826334,-0.140818,531040,104624,TQ310046,"East Sussex","Brighton and Hove","St. Peter's and North Laine",E06000043,E05002434,England,E10000011,"Brighton, Pavilion",1990-02-01,,"Brighton and Hove, unparished area","",,,"Brighton and Hove","Brighton and Hove","Brighton and Hove 027E","Urban city and town",South East,25,,E01016969,,E02003517,"North Laine & the Lanes",E43000034,E00085668,E14000598,4311,1,1,2022-02-23,"Brighton",0.29838,BN,BN1,"Sussex","",9C2XRVG5+GM,40200,"","Brighton","Surrey, East and West Sussex","Brighton and Hove","22062021,22173248,22223928,22233213",1.32033
BN1 1AB,Yes,50.822959,-0.141790,530981,104247,TQ309042,"East Sussex","Brighton and Hove","Regency",E06000043,E05002432,England,E10000011,"Brighton, Pavilion",1980-01-01,,"Brighton and Hove, unparished area","",1,1,"Brighton and Hove","Brighton and Hove","Brighton and Hove 027A","Urban city and town",South East,18,,E01016952,,E02003517,"North Laine & the Lanes",E43000034,E00085586,E14000598,8856,1,0,2022-02-23,"Brighton",0.672592,BN,BN1,"Sussex","Southern Water",9C2XRVF5+57,40200,"","Brighton","Surrey, East and West Sussex","Brighton and Hove","22044967,22045100,22045116,22045219,22045220,22152934,22170134,22208012,22208013,22241966,22241967,22241968,22242082,10091892304",0.935909
BN1 1AD,Yes,50.821691,-0.142167,530958,104105,TQ309041,"East Sussex","Brighton and Hove","Regency",E06000043,E05002432,England,E10000011,"Brighton, Pavilion",1983-07-01,,"Brighton and Hove, unparished area","",27,15,"Brighton and Hove","Brighton and Hove","Brighton and Hove 027A","Urban city and town",South East,17,,E01016952,,E02003517,"North Laine & the Lanes",E43000034,E00085566,E14000598,8856,1,0,2022-02-23,"Brighton",0.81492,BN,BN1,"Sussex","Southern Water",9C2XRVC5+M4,40200,"","Brighton","Surrey, East and West Sussex","Brighton and Hove","22044563,22044645,22044648,22044753,22044754,22044865,22044878,22044880,22044923,22044924,22044958,22044976,22045099,22045117,22045118,22045119,22045120,22045196,22045213,22045221,22045222,22045223,22127716,22127717,22170132,22170133,22207145,22212334,22220158,22220160,22220164,22220166,22222824,22222825,22222826,22222827,22222828,22224005,22225545,22225750,22229696,22233373,22233374,22237577,22238552,22238553,22238554,22238555,22238556,22238557,22238558,22238559,22238560,22238561,22241423,22241969,22247842,22253604,22257573,22259248,22259807,22259808,22259809,22262040,22262211,22262212,22262213,22262214,22263289,22263290,22267444,22267445,22267446,22267447,22267448,22267449,22267450,22267451,22267452,22267453,22267454,22267985,22267986,22267987,22269821,22271012,22271013,22271014,22271015,22271016,22271017,22272570,22272571,22272572,22272573,22272574,22272576,22272860",0.791279
BN1 1AE,Yes,50.821384,-0.141753,530988,104072,TQ309040,"East Sussex","Brighton and Hove","Regency",E06000043,E05002432,England,E10000011,"Brighton, Pavilion",1980-01-01,,"Brighton and Hove, unparished area","",23,10,"Brighton and Hove","Brighton and Hove","Brighton and Hove 027A","Urban city and town",South East,17,,E01016952,,E02003517,"North Laine & the Lanes",E43000034,E00085586,E14000598,8856,1,0,2022-02-23,"Brighton",0.847303,BN,BN1,"Sussex","Southern Water",9C2XRVC5+H7,40200,"","Brighton","Surrey, East and West Sussex","Brighton and Hove","22044634,22044647,22044759,22045122,22045123,22045124,22045169,22045170,22045171,22045172,22045179,22045180,22045210,22045211,22045224,22050111,22127719,22170144,22170145,22170146,22173725,22191395,22220172,22236450,22241985,22247840,22247841,22250230,22258314,22262428,22262429,22262430,10092024772",0.764848
BN1 1AF,Yes,50.822545,-0.141565,530998,104201,TQ309042,"East Sussex","Brighton and Hove","Regency",E06000043,E05002432,England,E10000011,"Brighton, Pavilion",1980-01-01,,"Brighton and Hove, unparished area","",3,2,"Brighton and Hove","Brighton and Hove","Brighton and Hove 027A","Urban city and town",South East,17,,E01016952,,E02003517,"North Laine & the Lanes",E43000034,E00085586,E14000598,8856,1,0,2022-02-23,"Brighton",0.717921,BN,BN1,"Sussex","Southern Water",9C2XRVF5+29,40200,"","Brighton","Surrey, East and West Sussex","Brighton and Hove","22061837,22061899,22061900,22061933,22062032,22062047,22062048,22062431,22062432,22062433,22062434,22062435,22062602,22152935,22170137,22170138,22220167,22220168,22220169,22220170,22220171,22220173,22224006,22224624,22235892,22237179,22237180,22238030,22249338,22251040,22251041,22251042,22253092,22253305,22255935,22261120,22261507,22261508,22261509,22261510,22261511,22261512,22261513,22261514,22261515,22261516,22261517,22267161,10015420679,10015745742",0.894602
BN1 1AG,Yes,50.822922,-0.142871,530905,104241,TQ309042,"East Sussex","Brighton and Hove","Regency",E06000043,E05002432,England,E10000011,"Brighton, Pavilion",1980-01-01,,"Brighton and Hove, unparished area","",14,6,"Brighton and Hove","Brighton and Hove","Brighton and Hove 027A","Urban city and town",South East,21,,E01016952,,E02003517,"North Laine & the Lanes",E43000034,E00085586,E14000598,8856,1,0,2022-02-23,"Brighton",0.684913,BN,BN1,"Sussex","Southern Water",9C2XRVF4+5V,40200,"","Brighton","Surrey, East and West Sussex","Brighton and Hove","22044963,22044964,22044969,22044984,22045125,22045126,22045127,22045129,22045130,22045131,22045132,22045133,22045134,22045135,22045173,22045174,22045209,22119085,22119086,22119087,22119088,22119089,22119090,22119091,22168656,22168660,22168661,22168662,22168663,22168664,22168665,22173216,22192685,22207988,22210829,22212368,22221950,22222539,22224625,22224628,22225272,22247457,22247458,22247459,22247855,22247856,22251305,22267351,22267352,10025314047",0.913507
BN1 1AH,Yes,50.822736,-0.142864,530906,104220,TQ309042,"East Sussex","Brighton and Hove","Regency",E06000043,E05002432,England,E10000011,"Brighton, Pavilion",1980-01-01,,"Brighton and Hove, unparished area","",5,3,"Brighton and Hove","Brighton and Hove","Brighton and Hove 027A","Urban city and town",South East,20,,E01016952,,E02003517,"North Laine & the Lanes",E43000034,E00085566,E14000598,8856,1,0,2022-02-23,"Brighton",0.705235,BN,BN1,"Sussex","Southern Water",9C2XRVF4+3V,40200,"","Brighton","Surrey, East and West Sussex","Brighton and Hove","22044925,22044965,22044975,22044985,22045138,22045139,22045140,22045141,22045142,22045143,22045144,22045145,22045146,22045181,22045225,22045227,22045228,22045229,22119083,22119084,22168651,22168652,22168653,22168654,22173300,22190566,22190568,22192687,22192688,22193942,22195667,22203444,22205723,22205724,22208906,22220131,22221944,22223480,22227663,22247858,22253173,22273195,22273196,22273197,22273198,22273199",0.893351
BN1 1AJ,Yes,50.821451,-0.142560,530931,104078,TQ309040,"East Sussex","Brighton and Hove","Regency",E06000043,E05002432,England,E10000011,"Brighton, Pavilion",1980-01-01,,"Brighton and Hove, unparished area","",29,16,"Brighton and Hove","Brighton and Hove","Brighton and Hove 027A","Urban city and town",South East,17,,E01016952,,E02003517,"North Laine & the Lanes",E43000034,E00085566,E14000598,8856,1,0,2022-02-23,"Brighton",0.844002,BN,BN1,"Sussex","Southern Water",9C2XRVC4+HX,40200,"","Brighton","Surrey, East and West Sussex","Brighton and Hove","22044636,22044637,22044638,22044639,22044640,22044641,22044646,22044750,22044751,22044978,22044981,22044982,22044986,22044987,22044988,22044989,22044990,22044991,22044992,22044993,22044994,22044995,22045147,22045148,22045175,22045176,22127725,22127726,22177627,22217118,22247839,22259249",0.75844
BN1 1AL,Yes,50.821424,-0.142945,530904,104074,TQ309040,"East Sussex","Brighton and Hove","Regency",E06000043,E05002432,England,E10000011,"Brighton, Pavilion",1991-01-01,,"Brighton and Hove, unparished area","",85,47,"Brighton and Hove","Brighton and Hove","Brighton and Hove 027A","Urban city and town",South East,16,,E01016952,,E02003517,"North Laine & the Lanes",E43000034,E00085566,E14000598,8856,1,0,2022-02-23,"Brighton",0.850276,BN,BN1,"Sussex","Southern Water",9C2XRVC4+HR,40200,"","Brighton","Surrey, East and West Sussex","Brighton and Hove","22044426,22044428,22044429,22044483,22044565,22044635,22044752,22044757,22044866,22044867,22044870,22044871,22044872,22044873,22044879,22044881,22044962,22045021,22045022,22045023,22045025,22045026,22045027,22045029,22045030,22045149,22045150,22045182,22045183,22045184,22045185,22045186,22045187,22045230,22123687,22123688,22123689,22123690,22123691,22123692,22123704,22123705,22123706,22123707,22123708,22123709,22123710,22123711,22123712,22123713,22123714,22123715,22123716,22123717,22123718,22123719,22123720,22123721,22123722,22123723,22123724,22123725,22152906,22152907,22169438,22169440,22169452,22169453,22169454,22169455,22169456,22172496,22176441,22187375,22188761,22189628,22189769,22190003,22190152,22190270,22191408,22191413,22191414,22192686,22193933,22195847,22196464,22196465,22202444,22203993,22203994,22203995,22206011,22206012,22206013,22206014,22206015,22206016,22206945,22208000,22214209,22214210,22214211,22214212,22214213,22220049,22220136,22220137,22220138,22220139,22220142,22221274,22221275,2222127",0.748955
BN1 1AN,Yes,50.822086,-0.143500,530863,104147,TQ308041,"East Sussex","Brighton and Hove","Regency",E06000043,E05002432,England,E10000011,"Brighton, Pavilion",1980-01-01,,"Brighton and Hove, unparished area","",24,8,"Brighton and Hove","Brighton and Hove","Brighton and Hove 027A","Urban city and town",South East,17,,E01016952,,E02003517,"North Laine & the Lanes",E43000034,E00085566,E14000598,8856,1,0,2022-02-23,"Brighton",0.784279,BN,BN1,"Sussex","Southern Water",9C2XRVC4+RJ,40200,"","Brighton","Surrey, East and West Sussex","Brighton and Hove","22044874,22044875,22044876,22044926,22044927,22044928,22044929,22044930,22045151,22114959,22114960,22206048,22206049,22248738",0.811688
