Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,County,District,Ward,District Code,Ward Code,Country,County Code,Constituency,Introduced,Terminated,Parish,National Park,Population,Households,Built up area,Built up sub-division,Lower layer super output area,Rural/urban,Region,Altitude,London zone,LSOA Code,Local authority,MSOA Code,Middle layer super output area,Parish Code,Census output area,Constituency Code,Index of Multiple Deprivation,Quality,User Type,Last updated,Nearest station,Distance to station,Postcode area,Postcode district,Police force,Water company,Plus Code,Average Income,Sewage Company,Travel To Work Area,ITL level 2,ITL level 3,UPRNs,Distance to sea
BN2 0AA,Yes,50.820705,-0.119561,532553,104036,TQ325040,"East Sussex","Brighton and Hove","East Brighton",E06000043,E05002422,England,E10000011,"Brighton, Kemptown",2001-12-01,,"Brighton and Hove, unparished area","",91,41,"Brighton and Hove","Brighton and Hove","Brighton and Hove 031B","Urban city and town",South East,53,,E01016862,,E02003521,"Kemptown",E43000034,E00085131,E14000597,19757,1,0,2022-02-23,"Brighton",1.78173,BN,BN2,"Sussex","Southern Water",9C2XRVCJ+75,36900,"","Brighton","Surrey, East and West Sussex","Brighton and Hove","22082277,22082278,22082279,22082280,22082281,22082282,22082283,22082284,22082285,22082286,22082287,22082288,22082289,22082290,22082291,22084285,22084286,22084287,22084288,22084289,22084290,22084291,22084292,22084293,22084294,22084295,22084296,22084297,22084298,22084299,22084300,22085222,22085590,22114732,22114733,22114734,22114735,22114736,22114737,22114739,22114741,22114742,22114743,22114744,22114745,22144870,22193689,22194744,22194752,22256027,22256028,22256029,22256030,22256031",1.06791
BN2 0AB,Yes,50.820986,-0.118613,532619,104069,TQ326040,"East Sussex","Brighton and Hove","East Brighton",E06000043,E05002422,England,E10000011,"Brighton, Kemptown",2001-12-01,,"Brighton and Hove, unparished area","",70,8,"Brighton and Hove","Brighton and Hove","Brighton and Hove 031B","Urban city and town",South East,65,,E01016862,,E02003521,"Kemptown",E43000034,E00085099,E14000597,19757,1,0,2022-02-23,"Brighton",1.82353,BN,BN2,"Sussex","Southern Water",9C2XRVCJ+9H,36900,"","Brighton","Surrey, East and West Sussex","Brighton and Hove","22082632,22082633,22082634,22082635,22085620,22130785,22130786,22130787,22130788,22130789,22130790,22145313,22179081,22194833,22194888,22205441,22214465,22214466,22224215,22226047,22242206",1.11465
BN2 0AD,Yes,50.820360,-0.118808,532607,103999,TQ326039,"East Sussex","Brighton and Hove","East Brighton",E06000043,E05002422,England,E10000011,"Brighton, Kemptown",2001-12-01,,"Brighton and Hove, unparished area","",59,22,"Brighton and Hove","Brighton and Hove","Brighton and Hove 031B","Urban city and town",South East,56,,E01016862,,E02003521,"Kemptown",E43000034,E00085131,E14000597,19757,1,0,2022-02-23,"Brighton",1.84681,BN,BN2,"Sussex","Southern Water",9C2XRVCJ+4F,36900,"","Brighton","Surrey, East and West Sussex","Brighton and Hove","22082292,22082293,22082294,22082295,22082296,22082297,22082298,22082299,22082300,22082301,22084301,22084302,22084303,22084304,22084305,22084306,22084307,22084308,22084309,22084310,22084311,22084312,22084313,22084314,22178870",1.04309
BN2 0AE,Yes,50.819677,-0.120511,532489,103920,TQ324039,"East Sussex","Brighton and Hove","East Brighton",E06000043,E05002422,England,E10000011,"Brighton, Kemptown",2001-12-01,,"Brighton and Hove, unparished area","",71,39,"Brighton and Hove","Brighton and Hove","Brighton and Hove 031B","Urban city and town",South East,38,,E01016862,,E02003521,"Kemptown",E43000034,E00085099,E14000597,19757,1,0,2022-02-23,"Brighton",1.7887,BN,BN2,"Sussex","Southern Water",9C2XRV9H+VQ,36900,"","Brighton","Surrey, East and West Sussex","Brighton and Hove","22080068,22080069,22080070,22080071,22080072,22080073,22080074,22080075,22080076,22082258,22082259,22082260,22082261,22082262,22082263,22082264,22082265,22082266,22082302,22082303,22082304,22082307,22082356,22082357,22119363,22119364,22119367,22119376,22119379,22144936,22144937,22144938,22144939,22144940,22144941,22144942,22144943,22144944,22144945,22144946,22173256,22207586,22207587,22212089,22214497,22234442,22234443,22234444,22235006,22246086,22249027,22249028,10025497092",0.939703
BN2 0AF,Yes,50.820876,-0.117935,532667,104058,TQ326040,"East Sussex","Brighton and Hove","East Brighton",E06000043,E05002422,England,E10000011,"Brighton, Kemptown",2001-12-01,,"Brighton and Hove, unparished area","",6,0,"Brighton and Hove","Brighton and Hove","Brighton and Hove 031B","Urban city and town",South East,72,,E01016862,,E02003521,"Kemptown",E43000034,E00085099,E14000597,19757,1,0,2022-02-23,"Brighton",1.87107,BN,BN2,"Sussex","Southern Water",9C2XRVCJ+9R,36900,"","Brighton","Surrey, East and West Sussex","Brighton and Hove","22130784,22196422,22226039,22247607,22266302",1.11418
BN2 0AG,Yes,50.819923,-0.120189,532511,103948,TQ325039,"East Sussex","Brighton and Hove","East Brighton",E06000043,E05002422,England,E10000011,"Brighton, Kemptown",2001-12-01,,"Brighton and Hove, unparished area","",14,7,"Brighton and Hove","Brighton and Hove","Brighton and Hove 031B","Urban city and town",South East,43,,E01016862,,E02003521,"Kemptown",E43000034,E00085099,E14000597,19757,1,0,2022-02-23,"Brighton",1.79163,BN,BN2,"Sussex","Southern Water",9C2XRV9H+XW,36900,"","Brighton","Surrey, East and West Sussex","Brighton and Hove","22082268,22082269,22082270,22082271,22082272,22082273,22082274,22082275,22082276,22119366,22119372,22119377,22119378,22119380,22175284,22193621,22193622,22193623,22203186,22203187,22203188,22203190,22203191,22203199,22203201,22203203,22204252,22204253,22204255,22204257",0.971991
BN2 0AH,Yes,50.822669,-0.115861,532808,104261,TQ328042,"East Sussex","Brighton and Hove","East Brighton",E06000043,E05002422,England,E10000011,"Brighton, Kemptown",2001-12-01,,"Brighton and Hove, unparished area","",,,"Brighton and Hove","Brighton and Hove","Brighton and Hove 032A","Urban city and town",South East,98,,E01016863,,E02003522,"Roedean & Marina",E43000034,E00085134,E14000597,2187,1,0,2022-02-23,"Brighton",1.91806,BN,BN2,"Sussex","Southern Water",9C2XRVFM+3M,39500,"","Brighton","Surrey, East and West Sussex","Brighton and Hove","22084315,22085543,22170663",1.34487
BN2 0AJ,Yes,50.820390,-0.122910,532318,103995,TQ323039,"East Sussex","Brighton and Hove","Queen's Park",E06000043,E05002431,England,E10000011,"Brighton, Kemptown",2001-12-01,,"Brighton and Hove, unparished area","",13,11,"Brighton and Hove","Brighton and Hove","Brighton and Hove 031C","Urban city and town",South East,34,,E01016942,,E02003521,"Kemptown",E43000034,E00085528,E14000597,618,1,0,2022-02-23,"Brighton",1.60588,BN,BN2,"Sussex","Southern Water",9C2XRVCG+5R,36900,"","Brighton","Surrey, East and West Sussex","Brighton and Hove","22082305,22119351,22119352,22119353,22119354,22119444,22192019,22194745,22194746,22194747,22194748,22194749,22194750,22214494,22220987,22223722,22223723,22223724,22258780,22258781",0.976664
BN2 0AL,Yes,50.821197,-0.121628,532406,104087,TQ324040,"East Sussex","Brighton and Hove","Queen's Park",E06000043,E05002431,England,E10000011,"Brighton, Kemptown",2001-12-01,,"Brighton and Hove, unparished area","",209,1,"Brighton and Hove","Brighton and Hove","Brighton and Hove 031C","Urban city and town",South East,40,,E01016942,,E02003521,"Kemptown",E43000034,E00085528,E14000597,618,1,1,2022-02-23,"Brighton",1.62953,BN,BN2,"Sussex","Southern Water",9C2XRVCH+F8,36900,"","Brighton","Surrey, East and West Sussex","Brighton and Hove","22084283,22119442,22119443,22144920,22144921,22195444,22250300,10015349706,10025492811,10025497192",1.08642
BN2 0AN,Yes,50.820483,-0.119769,532539,104011,TQ325040,"East Sussex","Brighton and Hove","East Brighton",E06000043,E05002422,England,E10000011,"Brighton, Kemptown",2001-12-01,,"Brighton and Hove, unparished area","",56,37,"Brighton and Hove","Brighton and Hove","Brighton and Hove 031B","Urban city and town",South East,50,,E01016862,,E02003521,"Kemptown",E43000034,E00085131,E14000597,19757,1,0,2022-02-23,"Brighton",1.78224,BN,BN2,"Sussex","Southern Water",9C2XRVCJ+53,36900,"","Brighton","Surrey, East and West Sussex","Brighton and Hove","22084316,22084317,22084318,22084319,22084320,22084321,22084322,22084323,22084324,22084325,22084326,22084327,22084328,22084329,22084330,22084331,22084332,22084333,22084334,22084335,22084336,22084337,22084338,22084339,22084340,22084341,22084342,22084343,22084344,22084345,22084346,22084347,22084348,22084349,22084350,22084351,22084352,22084353,22084354,22084355,22213431",1.04017
