Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,County,District,Ward,District Code,Ward Code,Country,County Code,Constituency,Introduced,Terminated,Parish,National Park,Population,Households,Built up area,Built up sub-division,Lower layer super output area,Rural/urban,Region,Altitude,London zone,LSOA Code,Local authority,MSOA Code,Middle layer super output area,Parish Code,Census output area,Constituency Code,Index of Multiple Deprivation,Quality,User Type,Last updated,Nearest station,Distance to station,Postcode area,Postcode district,Police force,Water company,Plus Code,Average Income,Sewage Company,Travel To Work Area,ITL level 2,ITL level 3,UPRNs,Distance to sea
BN3 1AP,Yes,50.824321,-0.156233,529960,104373,TQ299043,"East Sussex","Brighton and Hove","Brunswick and Adelaide",E06000043,E05002420,England,E10000011,"Hove",1980-01-01,,"Brighton and Hove, unparished area","",14,6,"Brighton and Hove","Brighton and Hove","Brighton and Hove 029A","Urban city and town",South East,17,,E01016850,,E02003519,"Brunswick",E43000034,E00085022,E14000755,19414,1,0,2022-02-23,"Brighton",1.17143,BN,BN3,"Sussex","Southern Water",9C2XRRFV+PG,45000,"","Brighton","Surrey, East and West Sussex","Brighton and Hove","22031785,22031786,22031787,22031788,22031789,22031790",0.838971
BN3 1AQ,Yes,50.823833,-0.157232,529891,104317,TQ298043,"East Sussex","Brighton and Hove","Brunswick and Adelaide",E06000043,E05002420,England,E10000011,"Hove",1980-01-01,,"Brighton and Hove, unparished area","",155,86,"Brighton and Hove","Brighton and Hove","Brighton and Hove 029A","Urban city and town",South East,13,,E01016850,,E02003519,"Brunswick",E43000034,E00085026,E14000755,19414,1,0,2022-02-23,"Brighton",1.25846,BN,BN3,"Sussex","Southern Water",9C2XRRFV+G4,45000,"","Brighton","Surrey, East and West Sussex","Brighton and Hove","22031390,22031490,22031502,22031503,22031505,22031506,22031791,22031792,22031793,22031794,22031795,22031796,22031797,22031798,22031799,22031800,22031801,22031802,22031803,22031804,22032323,22033976,22033977,22033978,22033979,22033980,22033981,22033982,22033983,22033984,22033985,22033986,22033987,22033988,22033989,22034149,22142874,22142875,22142876,22142877,22142878,22142879,22142880,22142881,22142882,22142883,22142884,22142885,22142886,22142887,22142888,22142890,22142891,22142892,22142893,22142894,22142895,22142896,22142901,22142913,22142914,22142915,22142916,22142923,22142924,22142925,22142926,22142928,22142929,22142930,22142931,22159578,22159580,22159581,22159584,22159585,22159586,22159587,22159588,22159589,22159590,22159591,22159592,22159593,22159594,22159595,22159596,22159597,22159598,22159599,22159600,22159601,22159602,22159604,22159605,22159606,22159607,22159608,22159609,22159610,22159611,22182899,22182900,22182913,22182914,22182915,22182916,22188718,22190181,22199860,22199878,22199879,22199880,2219988",0.7688
BN3 1AR,Yes,50.823452,-0.156423,529949,104276,TQ299042,"East Sussex","Brighton and Hove","Brunswick and Adelaide",E06000043,E05002420,England,E10000011,"Hove",1980-01-01,,"Brighton and Hove, unparished area","",25,12,"Brighton and Hove","Brighton and Hove","Brighton and Hove 029A","Urban city and town",South East,11,,E01016850,,E02003519,"Brunswick",E43000034,E00085029,E14000755,19414,1,0,2022-02-23,"Brighton",1.22892,BN,BN3,"Sussex","Southern Water",9C2XRRFV+9C,45000,"","Brighton","Surrey, East and West Sussex","Brighton and Hove","22031491,22031492,22031493,22031530,22033893,22034014,22034015,22034016,22034017,22034018,22034019,22034020,22034021,22034022,22034023,22034024,22034228,22034240,22034241,22034242,22034243,22034244,22170802,22173539,22191192,22200811,22200813,22200815,22200816,22200819,22200820,22200821,22200822,22200823,22200824,22200825,22200826,22200827,22200828,22200829,22200830,22249724",0.741014
BN3 1AS,Yes,50.825030,-0.157086,529898,104450,TQ298044,"East Sussex","Brighton and Hove","Brunswick and Adelaide",E06000043,E05002420,England,E10000011,"Hove",1980-01-01,,"Brighton and Hove, unparished area","",75,38,"Brighton and Hove","Brighton and Hove","Brighton and Hove 029A","Urban city and town",South East,20,,E01016850,,E02003519,"Brunswick",E43000034,E00085003,E14000755,19414,1,0,2022-02-23,"Brighton",1.19403,BN,BN3,"Sussex","Southern Water",9C2XRRGV+25,45000,"","Brighton","Surrey, East and West Sussex","Brighton and Hove","22031511,22031512,22032324,22032325,22032326,22032327,22032328,22032329,22032330,22032331,22032332,22032333,22032334,22032335,22032336,22032337,22032338,22032339,22032340,22032341,22033442,22034092,22034106,22034107,22034108,22034109,22034110,22034111,22142521,22142522,22142524,22142526,22142531,22142532,22142533,22142534,22142538,22142539,22142540,22142541,22142542,22142543,22159562,22159563,22159570,22159574,22159575,22171635,22171636,22171637,22171639,22199721,22199724,22199725,22199726,22199729,22199733,22205481,22205482,22205484,22206354,22206877,22220305,22234204,22236452,22236453,22237244,22237245,22249725,22249726,22249727,22249728,22249729,22249730,22249731,22251429,22257466,22257548,22263854",0.901764
BN3 1AT,Yes,50.824003,-0.157765,529853,104335,TQ298043,"East Sussex","Brighton and Hove","Brunswick and Adelaide",E06000043,E05002420,England,E10000011,"Hove",1980-01-01,,"Brighton and Hove, unparished area","",112,58,"Brighton and Hove","Brighton and Hove","Brighton and Hove 029A","Urban city and town",South East,14,,E01016850,,E02003519,"Brunswick",E43000034,E00085005,E14000755,19414,1,0,2022-02-23,"Brighton",1.28357,BN,BN3,"Sussex","Southern Water",9C2XRRFR+JV,45000,"","Brighton","Surrey, East and West Sussex","Brighton and Hove","22031513,22031514,22031515,22032342,22032343,22032344,22032346,22032347,22032348,22032349,22032350,22032351,22032352,22032353,22032354,22032355,22032356,22032357,22032358,22032359,22032360,22032361,22032362,22032363,22032364,22033570,22033571,22033573,22033797,22034029,22034030,22034036,22034246,22138644,22138645,22138646,22138647,22138649,22138650,22138651,22138652,22138654,22138655,22138662,22138663,22138665,22138666,22138667,22138669,22138671,22138672,22138673,22138674,22138675,22138676,22138677,22138678,22138679,22138680,22138681,22138682,22138683,22138684,22138685,22138686,22138687,22138688,22159552,22187918,22187919,22188650,22197936,22197937,22197941,22197942,22197944,22197945,22197948,22205486,22238653,22247830,22249732,22249733,22249734,22249735,22264135",0.778275
BN3 1AU,Yes,50.824170,-0.158042,529833,104353,TQ298043,"East Sussex","Brighton and Hove","Brunswick and Adelaide",E06000043,E05002420,England,E10000011,"Hove",1980-01-01,,"Brighton and Hove, unparished area","",89,38,"Brighton and Hove","Brighton and Hove","Brighton and Hove 029A","Urban city and town",South East,15,,E01016850,,E02003519,"Brunswick",E43000034,E00085005,E14000755,19414,1,0,2022-02-23,"Brighton",1.29331,BN,BN3,"Sussex","Southern Water",9C2XRRFR+MQ,45000,"","Brighton","Surrey, East and West Sussex","Brighton and Hove","22031451,22031494,22031495,22031507,22031508,22031509,22031516,22031517,22031518,22031519,22031520,22031521,22031522,22031523,22032365,22032366,22032367,22032368,22032369,22032370,22032371,22032372,22032373,22032374,22032378,22033443,22033444,22033476,22033477,22033591,22034217,22034218,22034219,22034220,22034221,22034222,22133241,22133242,22133243,22133244,22133246,22133247,22133248,22133250,22133251,22133252,22133253,22159382,22179705,22183998,22183999,22184000,22184001,22197835,22197837,22197839,22197842,22205488,22206796,22207664,22207665,22207666,22207667,22207668,22207669,22207670,22207671,22210212,22215906,22220297,22220744,22226383,22226384,22227269,22233224,22233226,22233228,22238191,22238263,22238264,22238265,22239481,22246029,22250309,22254816,22255972,22255973,22255974,22255975,22269590",0.791773
BN3 1AW,Yes,50.825301,-0.157714,529853,104479,TQ298044,"East Sussex","Brighton and Hove","Brunswick and Adelaide",E06000043,E05002420,England,E10000011,"Hove",1993-01-01,,"Brighton and Hove, unparished area","",4,3,"Brighton and Hove","Brighton and Hove","Brighton and Hove 029B","Urban city and town",South East,21,,E01016851,,E02003519,"Brunswick",E43000034,E00085020,E14000755,21843,1,0,2022-02-23,"Brighton",1.22465,BN,BN3,"Sussex","Southern Water",9C2XRRGR+4W,45000,"","Brighton","Surrey, East and West Sussex","Brighton and Hove","22033795,22201285,22238209,22238210,22238211,22238212,22249630",0.920635
BN3 1AX,No,50.834409,-0.168063,529099,105474,TQ290054,"East Sussex","Brighton and Hove","Goldsmid",E06000043,E05002423,England,E10000011,"Hove",2001-06-01,2003-03-01,"Brighton and Hove, unparished area","",,,"Brighton and Hove","Brighton and Hove","Brighton and Hove 019D","Urban city and town",South East,29,,E01016873,,E02003509,"Goldsmid West",E43000034,E00085160,E14000755,7959,1,1,2022-02-23,"Hove",0.204795,BN,BN3,"Sussex","",9C2XRRMJ+QQ,44000,"","Brighton","Surrey, East and West Sussex","Brighton and Hove","",1.73764
BN3 1AY,Yes,50.824874,-0.156495,529940,104434,TQ299044,"East Sussex","Brighton and Hove","Brunswick and Adelaide",E06000043,E05002420,England,E10000011,"Hove",1980-01-01,,"Brighton and Hove, unparished area","",45,29,"Brighton and Hove","Brighton and Hove","Brighton and Hove 029A","Urban city and town",South East,21,,E01016850,,E02003519,"Brunswick",E43000034,E00085003,E14000755,19414,1,0,2022-02-23,"Brighton",1.16233,BN,BN3,"Sussex","Southern Water",9C2XRRFV+WC,45000,"","Brighton","Surrey, East and West Sussex","Brighton and Hove","22031483,22031484,22031485,22031486,22031487,22031488,22031489,22031805,22031806,22031807,22031808,22031809,22031810,22034112,22034113,22143000,22143001,22143002,22143003,22143004,22143005,22143006,22143007,22143008,22143009,22143010,22143011,22143012,22143013,22143014,22143015,22143016,22143017,22143069,22159670,22182935,22183122,22199871,22199872,22199877,22199886,22199887,22199888,22209653,22209654,22209655,22209662,22222580,22222581,22223674,22223675,22223676,22223677,22226342,22236957,22236958,22236959,22245643,22246219,22246220,22247827,22263362,22264136",0.894801
BN3 1AZ,Yes,50.824233,-0.156393,529949,104363,TQ299043,"East Sussex","Brighton and Hove","Brunswick and Adelaide",E06000043,E05002420,England,E10000011,"Hove",1990-07-01,,"Brighton and Hove, unparished area","",7,5,"Brighton and Hove","Brighton and Hove","Brighton and Hove 029A","Urban city and town",South East,16,,E01016850,,E02003519,"Brunswick",E43000034,E00085022,E14000755,19414,1,0,2022-02-23,"Brighton",1.18584,BN,BN3,"Sussex","Southern Water",9C2XRRFV+MC,45000,"","Brighton","Surrey, East and West Sussex","Brighton and Hove","22033586,22033587,22033588,22033589,22033590,22224387",0.826659
